YEARS,CO2EQ
2163,542.4471
2164,542.4471
2165,542.4471
2166,542.4471
2167,542.4471
2168,542.4471
2169,542.4471
2170,542.4471
2171,542.4471
2172,542.4471
2173,542.4471
2174,542.4471
2175,542.4471
2176,542.4471
2177,542.4471
2178,542.4471
2179,542.4471
2180,542.4471
2181,542.4471
2182,542.4471
2183,542.4471
2184,542.4471
2185,542.4471
2186,542.4471
2187,542.4471
2188,542.4471
2189,542.4471
2190,542.4471
2191,542.4471
2192,542.4471
2193,542.4471
2194,542.4471
2195,542.4471
2196,542.4471
2197,542.4471
2198,542.4471
2199,542.4471
2200,542.4471
2201,542.4471
2202,542.4471
2203,542.4471
2204,542.4471
2205,542.4471
2206,542.4471
2207,542.4471
2208,542.4471
2209,542.4471
2210,542.4471
2211,542.4471
2212,542.4471
2213,542.4471
2214,542.4471
2215,542.4471
2216,542.4471
2217,542.4471
2218,542.4471
2219,542.4471
2220,542.4471
2221,542.4471
2222,542.4471
2223,542.4471
2224,542.4471
2225,542.4471
2226,542.4471
2227,542.4471
2228,542.4471
2229,542.4471
2230,542.4471
2231,542.4471
2232,542.4471
2233,542.4471
2234,542.4471
2235,542.4471
2236,542.4471
2237,542.4471
2238,542.4471
2239,542.4471
2240,542.4471
2241,542.4471
2242,542.4471
2243,542.4471
2244,542.4471
2245,542.4471
2246,542.4471
2247,542.4471
2248,542.4471
2249,542.4471
2250,542.4471
2251,542.4471
2252,542.4471
2253,542.4471
2254,542.4471
2255,542.4471
2256,542.4471
2257,542.4471
2258,542.4471
2259,542.4471
2260,542.4471
2261,542.4471
2262,542.4471
2263,542.4471
2264,542.4471
2265,542.4471
2266,542.4471
2267,542.4471
2268,542.4471
2269,542.4471
2270,542.4471
2271,542.4471
2272,542.4471
2273,542.4471
2274,542.4471
2275,542.4471
2276,542.4471
2277,542.4471
2278,542.4471
2279,542.4471
2280,542.4471
2281,542.4471
2282,542.4471
2283,542.4471
2284,542.4471
2285,542.4471
2286,542.4471
2287,542.4471
2288,542.4471
2289,542.4471
2290,542.4471
2291,542.4471
2292,542.4471
2293,542.4471
2294,542.4471
2295,542.4471
2296,542.4471
2297,542.4471
2298,542.4471
2299,542.4471
2300,542.4471
2301,542.4471
2302,542.4471
2303,542.4471
2304,542.4471
2305,542.4471
2306,542.4471
2307,542.4471
2308,542.4471
2309,542.4471
2310,542.4471
2311,542.4471
2312,542.4471
2313,542.4471
2314,542.4471
2315,542.4471
2316,542.4471
2317,542.4471
2318,542.4471
2319,542.4471
2320,542.4471
2321,542.4471
2322,542.4471
2323,542.4471
2324,542.4471
2325,542.4471
2326,542.4471
2327,542.4471
