YEARS,CO2EQ,,,
2058,534.0827,,,
2059,538.05859,,,
2060,542.4471,,,
2061,547.56767,,,
2062,553.0471,,,
2063,558.55648,,,
2064,564.14701,,,
2065,569.80732,,,
2066,575.539,,,
2067,581.36977,,,
2068,587.31722,,,
2069,593.39036,,,
2070,599.42514,,,
2071,605.23808,,,
2072,610.94935,,,
2073,616.681,,,
2074,622.42152,,,
2075,628.17373,,,
2076,633.92394,,,
2077,639.67239,,,
2078,645.44832,,,
2079,651.27083,,,
2080,656.9413,,,
2081,662.25239,,,
2082,667.28579,,,
2083,672.08697,,,
2084,676.6186,,,
2085,680.88931,,,
2086,684.90932,,,
2087,688.66931,,,
2088,692.17507,,,
2089,695.46193,,,
2090,698.56587,,,
2091,701.5144,,,
2092,704.41932,,,
2093,707.36978,,,
2094,710.34212,,,
2095,713.32311,,,
2096,716.30643,,,
2097,719.28847,,,
2098,722.25882,,,
2099,725.22787,,,
2100,728.1237,,,
2101,730.85747,,,
2102,733.58311,,,
2103,736.39299,,,
2104,739.21355,,,
2105,742.021,,,
2106,744.79945,,,
2107,747.54059,,,
2108,750.23878,,,
2109,752.86968,,,
2110,755.4253,,,
2111,757.93134,,,
2112,760.40476,,,
2113,762.85324,,,
2114,765.27974,,,
2115,767.67291,,,
2116,770.01345,,,
2117,772.28917,,,
2118,774.49528,,,
2119,776.62944,,,
2120,778.6697,,,
2121,780.61014,,,
2122,782.47962,,,
2123,784.29848,,,
2124,786.07684,,,
2125,787.81935,,,
2126,789.51545,,,
2127,791.14824,,,
2128,792.70816,,,
2129,794.19127,,,
2130,795.59606,,,
2131,796.90083,,,
2132,798.10002,,,
2133,799.22374,,,
2134,800.29356,,,
2135,801.32057,,,
2136,802.31056,,,
2137,803.2541,,,
2138,804.13287,,,
2139,804.93568,,,
2140,805.65887,,,
2141,806.30121,,,
2142,806.84093,,,
2143,807.27225,,,
2144,807.62623,,,
2145,807.92524,,,
2146,808.18047,,,
2147,808.39823,,,
2148,808.56918,,,
2149,808.67492,,,
2150,808.70955,,,
2151,808.70955,,,
2152,808.70955,,,
2153,808.70955,,,
2154,808.70955,,,
2155,808.70955,,,
2156,808.70955,,,
2157,808.70955,,,
2158,808.70955,,,
2159,808.70955,,,
2160,808.70955,,,
2161,808.70955,,,
2162,808.70955,,,
2163,808.70955,,,
2164,808.70955,,,
2165,808.70955,,,
2166,808.70955,,,
2167,808.70955,,,
2168,808.70955,,,
2169,808.70955,,,
2170,808.70955,,,
2171,808.70955,,,
2172,808.70955,,,
2173,808.70955,,,
2174,808.70955,,,
2175,808.70955,,,
2176,808.70955,,,
2177,808.70955,,,
2178,808.70955,,,
2179,808.70955,,,
2180,808.70955,,,
2181,808.70955,,,
2182,808.70955,,,
2183,808.70955,,,
2184,808.70955,,,
2185,808.70955,,,
2186,808.70955,,,
2187,808.70955,,,
2188,808.70955,,,
2189,808.70955,,,
2190,808.70955,,,
2191,808.70955,,,
2192,808.70955,,,
2193,808.70955,,,
2194,808.70955,,,
2195,808.70955,,,
2196,808.70955,,,
2197,808.70955,,,
2198,808.70955,,,
2199,808.70955,,,
2200,808.70955,,,
2201,808.70955,,,
2202,808.70955,,,
2203,808.70955,,,
2204,808.70955,,,
2205,808.70955,,,
2206,808.70955,,,
2207,808.70955,,,
2208,808.70955,,,
2209,808.70955,,,
2210,808.70955,,,
2211,808.70955,,,
2212,808.70955,,,
2213,808.70955,,,
2214,808.70955,,,
2215,808.70955,,,
2216,808.70955,,,
2217,808.70955,,,
2218,808.70955,,,
2219,808.70955,,,
2220,808.70955,,,
2221,808.70955,,,
2222,808.70955,,,
2223,808.70955,,,
2224,808.70955,,,
2225,808.70955,,,
2226,808.70955,,,
2227,808.70955,,,
2228,808.70955,,,
2229,808.70955,,,
2230,808.70955,,,
2231,808.70955,,,
2232,808.70955,,,
2233,808.70955,,,
2234,808.70955,,,
2235,808.70955,,,
2236,808.70955,,,
2237,808.70955,,,
2238,808.70955,,,
2239,808.70955,,,
2240,808.70955,,,
2241,808.70955,,,
2242,808.70955,,,
2243,808.70955,,,
2244,808.70955,,,
2245,808.70955,,,
2246,808.70955,,,
2247,808.70955,,,
2248,808.70955,,,
2249,808.70955,,,
2250,808.70955,,,
2251,808.70955,,,
2252,808.70955,,,
2253,808.70955,,,
2254,808.70955,,,
2255,808.70955,,,
2256,808.70955,,,
2257,808.70955,,,
2258,808.70955,,,
2259,808.70955,,,
2260,808.70955,,,
2261,808.70955,,,
2262,808.70955,,,
2263,808.70955,,,
2264,808.70955,,,
2265,808.70955,,,
2266,808.70955,,,
2267,808.70955,,,
2268,808.70955,,,
2269,808.70955,,,
2270,808.70955,,,
2271,808.70955,,,
2272,808.70955,,,
2273,808.70955,,,
2274,808.70955,,,
2275,808.70955,,,
2276,808.70955,,,
2277,808.70955,,,
2278,808.70955,,,
2279,808.70955,,,
2280,808.70955,,,
2281,808.70955,,,
2282,808.70955,,,
2283,808.70955,,,
2284,808.70955,,,
2285,808.70955,,,
2286,808.70955,,,
2287,808.70955,,,
2288,808.70955,,,
2289,808.70955,,,
2290,808.70955,,,
2291,808.70955,,,
2292,808.70955,,,
2293,808.70955,,,
2294,808.70955,,,
2295,808.70955,,,
2296,808.70955,,,
2297,808.70955,,,
2298,808.70955,,,
2299,808.70955,,,
2300,808.70955,,,
2301,808.70955,,,
2302,808.70955,,,
2303,808.70955,,,
2304,808.70955,,,
2305,808.70955,,,
2306,808.70955,,,
2307,808.70955,,,
2308,808.70955,,,
2309,808.70955,,,
2310,808.70955,,,
2311,808.70955,,,
2312,808.70955,,,
2313,808.70955,,,
2314,808.70955,,,
2315,808.70955,,,
2316,808.70955,,,
2317,808.70955,,,
2318,808.70955,,,
2319,808.70955,,,
2320,808.70955,,,
2321,808.70955,,,
2322,808.70955,,,
2323,808.70955,,,
2324,808.70955,,,
2325,808.70955,,,
2326,808.70955,,,
2327,808.70955,,,
2328,808.70955,,,
2329,808.70955,,,
2330,808.70955,,,
2331,808.70955,,,
2332,808.70955,,,
2333,808.70955,,,
2334,808.70955,,,
2335,808.70955,,,
2336,808.70955,,,
2337,808.70955,,,
2338,808.70955,,,
2339,808.70955,,,
2340,808.70955,,,
2341,808.70955,,,
2342,808.70955,,,
2343,808.70955,,,
2344,808.70955,,,
2345,808.70955,,,
2346,808.70955,,,
2347,808.70955,,,
2348,808.70955,,,
2349,808.70955,,,
2350,808.70955,,,
2351,808.70955,,,
2352,808.70955,,,
2353,808.70955,,,
2354,808.70955,,,
2355,808.70955,,,
2356,808.70955,,,
2357,808.70955,,,
2358,808.70955,,,
2359,808.70955,,,
2360,808.70955,,,
2361,808.70955,,,
2362,808.70955,,,
2363,808.70955,,,
2364,808.70955,,,
2365,808.70955,,,
2366,808.70955,,,
2367,808.70955,,,
2368,808.70955,,,
2369,808.70955,,,
2370,808.70955,,,
2371,808.70955,,,
2372,808.70955,,,
2373,808.70955,,,
2374,808.70955,,,
2375,808.70955,,,
2376,808.70955,,,
2377,808.70955,,,
2378,808.70955,,,
2379,808.70955,,,
2380,808.70955,,,
2381,808.70955,,,
2382,808.70955,,,
2383,808.70955,,,
2384,808.70955,,,
2385,808.70955,,,
2386,808.70955,,,
2387,808.70955,,,
2388,808.70955,,,
2389,808.70955,,,
2390,808.70955,,,
2391,808.70955,,,
2392,808.70955,,,
2393,808.70955,,,
2394,808.70955,,,
2395,808.70955,,,
2396,808.70955,,,
2397,808.70955,,,
2398,808.70955,,,
2399,808.70955,,,
2400,808.70955,,,
2401,808.70955,,,
2402,808.70955,,,
2403,808.70955,,,
2404,808.70955,,,
2405,808.70955,,,
2406,808.70955,,,
2407,808.70955,,,
2408,808.70955,,,
2409,808.70955,,,
2410,808.70955,,,
2411,808.70955,,,
2412,808.70955,,,
2413,808.70955,,,
2414,808.70955,,,
2415,808.70955,,,
2416,808.70955,,,
2417,808.70955,,,
2418,808.70955,,,
2419,808.70955,,,
2420,808.70955,,,
2421,808.70955,,,
2422,808.70955,,,
2423,808.70955,,,
2424,808.70955,,,
2425,808.70955,,,
2426,808.70955,,,
2427,808.70955,,,
2428,808.70955,,,
2429,808.70955,,,
2430,808.70955,,,
2431,808.70955,,,
2432,808.70955,,,
2433,808.70955,,,
2434,808.70955,,,
2435,808.70955,,,
2436,808.70955,,,
2437,808.70955,,,
2438,808.70955,,,
2439,808.70955,,,
2440,808.70955,,,
2441,808.70955,,,
2442,808.70955,,,
2443,808.70955,,,
2444,808.70955,,,
2445,808.70955,,,
2446,808.70955,,,
2447,808.70955,,,
2448,808.70955,,,
2449,808.70955,,,
2450,808.70955,,,
2451,808.70955,,,
2452,808.70955,,,
2453,808.70955,,,
2454,808.70955,,,
2455,808.70955,,,
2456,808.70955,,,
2457,808.70955,,,
2458,808.70955,,,
2459,808.70955,,,
2460,808.70955,,,
2461,808.70955,,,
2462,808.70955,,,
2463,808.70955,,,
2464,808.70955,,,
2465,808.70955,,,
2466,808.70955,,,
2467,808.70955,,,
2468,808.70955,,,
2469,808.70955,,,
2470,808.70955,,,
2471,808.70955,,,
2472,808.70955,,,
2473,808.70955,,,
2474,808.70955,,,
2475,808.70955,,,
2476,808.70955,,,
2477,808.70955,,,
2478,808.70955,,,
2479,808.70955,,,
2480,808.70955,,,
2481,808.70955,,,
2482,808.70955,,,
2483,808.70955,,,
2484,808.70955,,,
2485,808.70955,,,
2486,808.70955,,,
2487,808.70955,,,
2488,808.70955,,,
2489,808.70955,,,
2490,808.70955,,,
2491,808.70955,,,
2492,808.70955,,,
2493,808.70955,,,
2494,808.70955,,,
2495,808.70955,,,
2496,808.70955,,,
2497,808.70955,,,
2498,808.70955,,,
2499,808.70955,,,
2500,808.70955,,,
2501,808.70955,,,
2502,808.70955,,,
2503,808.70955,,,
2504,808.70955,,,
2505,808.70955,,,
2506,808.70955,,,
2507,808.70955,,,
2508,808.70955,,,
2509,808.70955,,,
2510,808.70955,,,
2511,808.70955,,,
2512,808.70955,,,
2513,808.70955,,,
2514,808.70955,,,
2515,808.70955,,,
2516,808.70955,,,
2517,808.70955,,,
2518,808.70955,,,
2519,808.70955,,,
2520,808.70955,,,
2521,808.70955,,,
2522,808.70955,,,
2523,808.70955,,,
2524,808.70955,,,
2525,808.70955,,,
2526,808.70955,,,
2527,808.70955,,,
2528,808.70955,,,
2529,808.70955,,,
2530,808.70955,,,
2531,808.70955,,,
2532,808.70955,,,
2533,808.70955,,,
2534,808.70955,,,
2535,808.70955,,,
2536,808.70955,,,
2537,808.70955,,,
2538,808.70955,,,
2539,808.70955,,,
2540,808.70955,,,
2541,808.70955,,,
2542,808.70955,,,
2543,808.70955,,,
2544,808.70955,,,
2545,808.70955,,,
2546,808.70955,,,
2547,808.70955,,,
2548,808.70955,,,
2549,808.70955,,,
2550,808.70955,,,
2551,808.70955,,,
2552,808.70955,,,
2553,808.70955,,,
2554,808.70955,,,
2555,808.70955,,,
2556,808.70955,,,
2557,808.70955,,,
2558,808.70955,,,
2559,808.70955,,,
2560,808.70955,,,
2561,808.70955,,,
2562,808.70955,,,
2563,808.70955,,,
2564,808.70955,,,
2565,808.70955,,,
2566,808.70955,,,
2567,808.70955,,,
2568,808.70955,,,
2569,808.70955,,,
2570,808.70955,,,
2571,808.70955,,,
2572,808.70955,,,
2573,808.70955,,,
2574,808.70955,,,
2575,808.70955,,,
2576,808.70955,,,
2577,808.70955,,,
2578,808.70955,,,
2579,808.70955,,,
2580,808.70955,,,
2581,808.70955,,,
2582,808.70955,,,
2583,808.70955,,,
2584,808.70955,,,
2585,808.70955,,,
2586,808.70955,,,
2587,808.70955,,,
2588,808.70955,,,
2589,808.70955,,,
2590,808.70955,,,
2591,808.70955,,,
2592,808.70955,,,
2593,808.70955,,,
2594,808.70955,,,
2595,808.70955,,,
2596,808.70955,,,
2597,808.70955,,,
2598,808.70955,,,
2599,808.70955,,,
2600,808.70955,,,
2601,808.70955,,,
2602,808.70955,,,
2603,808.70955,,,
2604,808.70955,,,
2605,808.70955,,,
2606,808.70955,,,
2607,808.70955,,,
2608,808.70955,,,
2609,808.70955,,,
2610,808.70955,,,
2611,808.70955,,,
2612,808.70955,,,
2613,808.70955,,,
2614,808.70955,,,
2615,808.70955,,,
2616,808.70955,,,
2617,808.70955,,,
2618,808.70955,,,
2619,808.70955,,,
2620,808.70955,,,
2621,808.70955,,,
2622,808.70955,,,
2623,808.70955,,,
2624,808.70955,,,
2625,808.70955,,,
2626,808.70955,,,
2627,808.70955,,,
2628,808.70955,,,
2629,808.70955,,,
2630,808.70955,,,
2631,808.70955,,,
2632,808.70955,,,
2633,808.70955,,,
2634,808.70955,,,
2635,808.70955,,,
2636,808.70955,,,
2637,808.70955,,,
2638,808.70955,,,
2639,808.70955,,,
2640,808.70955,,,
2641,808.70955,,,
2642,808.70955,,,
2643,808.70955,,,
2644,808.70955,,,
2645,808.70955,,,
2646,808.70955,,,
2647,808.70955,,,
2648,808.70955,,,
2649,808.70955,,,
2650,808.70955,,,
2651,808.70955,,,
2652,808.70955,,,
2653,808.70955,,,
2654,808.70955,,,
2655,808.70955,,,
2656,808.70955,,,
2657,808.70955,,,
2658,808.70955,,,
2659,808.70955,,,
2660,808.70955,,,
2661,808.70955,,,
2662,808.70955,,,
2663,808.70955,,,
2664,808.70955,,,
2665,808.70955,,,
2666,808.70955,,,
2667,808.70955,,,
2668,808.70955,,,
2669,808.70955,,,
2670,808.70955,,,
2671,808.70955,,,
2672,808.70955,,,
2673,808.70955,,,
2674,808.70955,,,
2675,808.70955,,,
2676,808.70955,,,
2677,808.70955,,,
2678,808.70955,,,
2679,808.70955,,,
2680,808.70955,,,
2681,808.70955,,,
2682,808.70955,,,
2683,808.70955,,,
2684,808.70955,,,
2685,808.70955,,,
2686,808.70955,,,
2687,808.70955,,,
2688,808.70955,,,
2689,808.70955,,,
2690,808.70955,,,
2691,808.70955,,,
2692,808.70955,,,
2693,808.70955,,,
2694,808.70955,,,
2695,808.70955,,,
2696,808.70955,,,
2697,808.70955,,,
2698,808.70955,,,
2699,808.70955,,,
2700,808.70955,,,
2701,808.70955,,,
2702,808.70955,,,
2703,808.70955,,,
2704,808.70955,,,
2705,808.70955,,,
2706,808.70955,,,
2707,808.70955,,,
2708,808.70955,,,
2709,808.70955,,,
2710,808.70955,,,
2711,808.70955,,,
2712,808.70955,,,
2713,808.70955,,,
2714,808.70955,,,
2715,808.70955,,,
2716,808.70955,,,
2717,808.70955,,,
2718,808.70955,,,
2719,808.70955,,,
2720,808.70955,,,
2721,808.70955,,,
2722,808.70955,,,
2723,808.70955,,,
2724,808.70955,,,
2725,808.70955,,,
2726,808.70955,,,
2727,808.70955,,,
2728,808.70955,,,
2729,808.70955,,,
2730,808.70955,,,
2731,808.70955,,,
2732,808.70955,,,
2733,808.70955,,,
2734,808.70955,,,
2735,808.70955,,,
2736,808.70955,,,
2737,808.70955,,,
2738,808.70955,,,
2739,808.70955,,,
2740,808.70955,,,
2741,808.70955,,,
2742,808.70955,,,
2743,808.70955,,,
2744,808.70955,,,
2745,808.70955,,,
2746,808.70955,,,
2747,808.70955,,,
2748,808.70955,,,
2749,808.70955,,,
2750,808.70955,,,
2751,808.70955,,,
2752,808.70955,,,
2753,808.70955,,,
2754,808.70955,,,
2755,808.70955,,,
2756,808.70955,,,
2757,808.70955,,,
2758,808.70955,,,
2759,808.70955,,,
2760,808.70955,,,
2761,808.70955,,,
2762,808.70955,,,
2763,808.70955,,,
2764,808.70955,,,
2765,808.70955,,,
2766,808.70955,,,
2767,808.70955,,,
2768,808.70955,,,
2769,808.70955,,,
2770,808.70955,,,
2771,808.70955,,,
2772,808.70955,,,
2773,808.70955,,,
2774,808.70955,,,
2775,808.70955,,,
2776,808.70955,,,
2777,808.70955,,,
2778,808.70955,,,
2779,808.70955,,,
2780,808.70955,,,
2781,808.70955,,,
2782,808.70955,,,
2783,808.70955,,,
2784,808.70955,,,
2785,808.70955,,,
2786,808.70955,,,
2787,808.70955,,,
2788,808.70955,,,
2789,808.70955,,,
2790,808.70955,,,
2791,808.70955,,,
2792,808.70955,,,
2793,808.70955,,,
2794,808.70955,,,
2795,808.70955,,,
2796,808.70955,,,
2797,808.70955,,,
2798,808.70955,,,
2799,808.70955,,,
2800,808.70955,,,
