YEARS,CO2EQ
2163,583.28779
2164,583.28779
2165,583.28779
2166,583.28779
2167,583.28779
2168,583.28779
2169,583.28779
2170,583.28779
2171,583.28779
2172,583.28779
2173,583.28779
2174,583.28779
2175,583.28779
2176,583.28779
2177,583.28779
2178,583.28779
2179,583.28779
2180,583.28779
2181,583.28779
2182,583.28779
2183,583.28779
2184,583.28779
2185,583.28779
2186,583.28779
2187,583.28779
2188,583.28779
2189,583.28779
2190,583.28779
2191,583.28779
2192,583.28779
2193,583.28779
2194,583.28779
2195,583.28779
2196,583.28779
2197,583.28779
2198,583.28779
2199,583.28779
2200,583.28779
2201,583.28779
2202,583.28779
2203,583.28779
2204,583.28779
2205,583.28779
2206,583.28779
2207,583.28779
2208,583.28779
2209,583.28779
2210,583.28779
2211,583.28779
2212,583.28779
2213,583.28779
2214,583.28779
2215,583.28779
2216,583.28779
2217,583.28779
2218,583.28779
2219,583.28779
2220,583.28779
2221,583.28779
2222,583.28779
2223,583.28779
2224,583.28779
2225,583.28779
2226,583.28779
2227,583.28779
2228,583.28779
2229,583.28779
2230,583.28779
2231,583.28779
2232,583.28779
2233,583.28779
2234,583.28779
2235,583.28779
2236,583.28779
2237,583.28779
2238,583.28779
2239,583.28779
2240,583.28779
2241,583.28779
2242,583.28779
2243,583.28779
2244,583.28779
2245,583.28779
2246,583.28779
2247,583.28779
2248,583.28779
2249,583.28779
2250,583.28779
2251,583.28779
2252,583.28779
2253,583.28779
2254,583.28779
2255,583.28779
2256,583.28779
2257,583.28779
2258,583.28779
2259,583.28779
2260,583.28779
2261,583.28779
2262,583.28779
2263,583.28779
2264,583.28779
2265,583.28779
2266,583.28779
2267,583.28779
2268,583.28779
2269,583.28779
2270,583.28779
2271,583.28779
2272,583.28779
2273,583.28779
2274,583.28779
2275,583.28779
2276,583.28779
2277,583.28779
2278,583.28779
2279,583.28779
2280,583.28779
2281,583.28779
2282,583.28779
2283,583.28779
2284,583.28779
2285,583.28779
2286,583.28779
2287,583.28779
2288,583.28779
2289,583.28779
2290,583.28779
2291,583.28779
2292,583.28779
2293,583.28779
2294,583.28779
2295,583.28779
2296,583.28779
2297,583.28779
2298,583.28779
2299,583.28779
2300,583.28779
2301,583.28779
2302,583.28779
2303,583.28779
2304,583.28779
2305,583.28779
2306,583.28779
2307,583.28779
2308,583.28779
2309,583.28779
2310,583.28779
2311,583.28779
2312,583.28779
2313,583.28779
2314,583.28779
2315,583.28779
2316,583.28779
2317,583.28779
2318,583.28779
2319,583.28779
2320,583.28779
2321,583.28779
2322,583.28779
2323,583.28779
2324,583.28779
2325,583.28779
2326,583.28779
2327,583.28779
2328,583.28779
2329,583.28779
2330,583.28779
2331,583.28779
2332,583.28779
2333,583.28779
2334,583.28779
2335,583.28779
2336,583.28779
2337,583.28779
2338,583.28779
2339,583.28779
2340,583.28779
2341,583.28779
2342,583.28779
2343,583.28779
2344,583.28779
2345,583.28779
2346,583.28779
2347,583.28779
2348,583.28779
2349,583.28779
2350,583.28779
2351,583.28779
2352,583.28779
2353,583.28779
2354,583.28779
2355,583.28779
2356,583.28779
2357,583.28779
2358,583.28779
2359,583.28779
2360,583.28779
2361,583.28779
2362,583.28779
