YEARS,CO2EQ
2169,286.39873
2170,286.39873
2171,286.39873
2172,286.39873
2173,286.39873
2174,286.39873
2175,286.39873
2176,286.39873
2177,286.39873
2178,286.39873
2179,286.39873
2180,286.39873
2181,286.39873
2182,286.39873
2183,286.39873
2184,286.39873
2185,286.39873
2186,286.39873
2187,286.39873
2188,286.39873
2189,286.39873
2190,286.39873
2191,286.39873
2192,286.39873
2193,286.39873
2194,286.39873
2195,286.39873
2196,286.39873
2197,286.39873
2198,286.39873
2199,286.39873
2200,286.39873
2201,286.39873
2202,286.39873
2203,286.39873
2204,286.39873
2205,286.39873
2206,286.39873
2207,286.39873
2208,286.39873
2209,286.39873
2210,286.39873
2211,286.39873
2212,286.39873
2213,286.39873
2214,286.39873
2215,286.39873
2216,286.39873
2217,286.39873
2218,286.39873
2219,286.39873
2220,286.39873
2221,286.39873
2222,286.39873
2223,286.39873
2224,286.39873
2225,286.39873
2226,286.39873
2227,286.39873
2228,286.39873
2229,286.39873
2230,286.39873
2231,286.39873
2232,286.39873
2233,286.39873
2234,286.39873
2235,286.39873
2236,286.39873
2237,286.39873
2238,286.39873
2239,286.39873
2240,286.39873
2241,286.39873
2242,286.39873
2243,286.39873
2244,286.39873
2245,286.39873
2246,286.39873
2247,286.39873
2248,286.39873
2249,286.39873
2250,286.39873
2251,286.39873
2252,286.39873
2253,286.39873
2254,286.39873
2255,286.39873
2256,286.39873
2257,286.39873
2258,286.39873
2259,286.39873
2260,286.39873
2261,286.39873
2262,286.39873
2263,286.39873
2264,286.39873
2265,286.39873
2266,286.39873
2267,286.39873
2268,286.39873
2269,286.39873
2270,286.39873
2271,286.39873
2272,286.39873
2273,286.39873
2274,286.39873
2275,286.39873
2276,286.39873
2277,286.39873
2278,286.39873
2279,286.39873
2280,286.39873
2281,286.39873
2282,286.39873
2283,286.39873
2284,286.39873
2285,286.39873
2286,286.39873
2287,286.39873
2288,286.39873
2289,286.39873
2290,286.39873
2291,286.39873
2292,286.39873
2293,286.39873
2294,286.39873
2295,286.39873
2296,286.39873
2297,286.39873
2298,286.39873
2299,286.39873
2300,286.39873
2301,286.39873
2302,286.39873
2303,286.39873
2304,286.39873
2305,286.39873
2306,286.39873
2307,286.39873
2308,286.39873
2309,286.39873
2310,286.39873
2311,286.39873
2312,286.39873
2313,286.39873
2314,286.39873
2315,286.39873
2316,286.39873
2317,286.39873
2318,286.39873
2319,286.39873
2320,286.39873
2321,286.39873
2322,286.39873
2323,286.39873
2324,286.39873
2325,286.39873
2326,286.39873
2327,286.39873
2328,286.39873
2329,286.39873
2330,286.39873
2331,286.39873
2332,286.39873
2333,286.39873
2334,286.39873
2335,286.39873
2336,286.39873
2337,286.39873
2338,286.39873
2339,286.39873
2340,286.39873
2341,286.39873
2342,286.39873
2343,286.39873
2344,286.39873
2345,286.39873
2346,286.39873
2347,286.39873
2348,286.39873
2349,286.39873
2350,286.39873
2351,286.39873
2352,286.39873
2353,286.39873
2354,286.39873
2355,286.39873
2356,286.39873
2357,286.39873
2358,286.39873
2359,286.39873
2360,286.39873
2361,286.39873
2362,286.39873
2363,286.39873
2364,286.39873
2365,286.39873
2366,286.39873
2367,286.39873
2368,286.39873
2369,286.39873
2370,286.39873
2371,286.39873
2372,286.39873
2373,286.39873
2374,286.39873
2375,286.39873
2376,286.39873
2377,286.39873
2378,286.39873
2379,286.39873
2380,286.39873
2381,286.39873
2382,286.39873
2383,286.39873
2384,286.39873
2385,286.39873
2386,286.39873
2387,286.39873
2388,286.39873
2389,286.39873
2390,286.39873
2391,286.39873
2392,286.39873
2393,286.39873
2394,286.39873
2395,286.39873
2396,286.39873
2397,286.39873
2398,286.39873
2399,286.39873
2400,286.39873
2401,286.39873
2402,286.39873
2403,286.39873
2404,286.39873
2405,286.39873
2406,286.39873
2407,286.39873
2408,286.39873
2409,286.39873
2410,286.39873
2411,286.39873
2412,286.39873
2413,286.39873
2414,286.39873
2415,286.39873
2416,286.39873
2417,286.39873
2418,286.39873
2419,286.39873
2420,286.39873
2421,286.39873
2422,286.39873
2423,286.39873
2424,286.39873
2425,286.39873
2426,286.39873
2427,286.39873
2428,286.39873
2429,286.39873
2430,286.39873
2431,286.39873
2432,286.39873
2433,286.39873
2434,286.39873
2435,286.39873
2436,286.39873
2437,286.39873
2438,286.39873
2439,286.39873
2440,286.39873
2441,286.39873
2442,286.39873
2443,286.39873
2444,286.39873
2445,286.39873
2446,286.39873
2447,286.39873
2448,286.39873
2449,286.39873
2450,286.39873
2451,286.39873
2452,286.39873
2453,286.39873
2454,286.39873
2455,286.39873
2456,286.39873
2457,286.39873
2458,286.39873
2459,286.39873
2460,286.39873
2461,286.39873
2462,286.39873
2463,286.39873
2464,286.39873
2465,286.39873
2466,286.39873
2467,286.39873
2468,286.39873
2469,286.39873
2470,286.39873
2471,286.39873
2472,286.39873
2473,286.39873
2474,286.39873
2475,286.39873
2476,286.39873
2477,286.39873
2478,286.39873
2479,286.39873
2480,286.39873
2481,286.39873
2482,286.39873
2483,286.39873
2484,286.39873
2485,286.39873
2486,286.39873
2487,286.39873
2488,286.39873
2489,286.39873
2490,286.39873
2491,286.39873
2492,286.39873
2493,286.39873
2494,286.39873
2495,286.39873
2496,286.39873
2497,286.39873
2498,286.39873
2499,286.39873
2500,286.39873
2501,286.39873
2502,286.39873
2503,286.39873
2504,286.39873
2505,286.39873
2506,286.39873
2507,286.39873
2508,286.39873
2509,286.39873
2510,286.39873
2511,286.39873
2512,286.39873
2513,286.39873
2514,286.39873
2515,286.39873
2516,286.39873
2517,286.39873
2518,286.39873
2519,286.39873
2520,286.39873
2521,286.39873
2522,286.39873
2523,286.39873
2524,286.39873
2525,286.39873
2526,286.39873
2527,286.39873
2528,286.39873
2529,286.39873
2530,286.39873
2531,286.39873
2532,286.39873
2533,286.39873
2534,286.39873
2535,286.39873
2536,286.39873
2537,286.39873
2538,286.39873
2539,286.39873
2540,286.39873
2541,286.39873
2542,286.39873
2543,286.39873
2544,286.39873
2545,286.39873
2546,286.39873
2547,286.39873
2548,286.39873
2549,286.39873
2550,286.39873
2551,286.39873
2552,286.39873
2553,286.39873
2554,286.39873
2555,286.39873
2556,286.39873
2557,286.39873
2558,286.39873
2559,286.39873
2560,286.39873
2561,286.39873
2562,286.39873
2563,286.39873
2564,286.39873
2565,286.39873
2566,286.39873
2567,286.39873
2568,286.39873
2569,286.39873
2570,286.39873
2571,286.39873
2572,286.39873
2573,286.39873
2574,286.39873
2575,286.39873
2576,286.39873
2577,286.39873
2578,286.39873
2579,286.39873
2580,286.39873
2581,286.39873
2582,286.39873
2583,286.39873
2584,286.39873
2585,286.39873
2586,286.39873
2587,286.39873
2588,286.39873
2589,286.39873
2590,286.39873
2591,286.39873
2592,286.39873
2593,286.39873
2594,286.39873
2595,286.39873
2596,286.39873
2597,286.39873
2598,286.39873
2599,286.39873
2600,286.39873
2601,286.39873
2602,286.39873
2603,286.39873
2604,286.39873
2605,286.39873
2606,286.39873
2607,286.39873
2608,286.39873
2609,286.39873
2610,286.39873
2611,286.39873
2612,286.39873
2613,286.39873
2614,286.39873
2615,286.39873
2616,286.39873
2617,286.39873
2618,286.39873
2619,286.39873
2620,286.39873
2621,286.39873
2622,286.39873
2623,286.39873
2624,286.39873
2625,286.39873
2626,286.39873
2627,286.39873
2628,286.39873
2629,286.39873
2630,286.39873
2631,286.39873
2632,286.39873
2633,286.39873
2634,286.39873
2635,286.39873
2636,286.39873
2637,286.39873
2638,286.39873
2639,286.39873
2640,286.39873
2641,286.39873
2642,286.39873
2643,286.39873
2644,286.39873
2645,286.39873
2646,286.39873
2647,286.39873
2648,286.39873
2649,286.39873
2650,286.39873
2651,286.39873
2652,286.39873
2653,286.39873
2654,286.39873
2655,286.39873
2656,286.39873
2657,286.39873
2658,286.39873
2659,286.39873
2660,286.39873
2661,286.39873
2662,286.39873
2663,286.39873
2664,286.39873
2665,286.39873
2666,286.39873
2667,286.39873
2668,286.39873
2669,286.39873
2670,286.39873
2671,286.39873
2672,286.39873
2673,286.39873
2674,286.39873
2675,286.39873
2676,286.39873
2677,286.39873
2678,286.39873
2679,286.39873
2680,286.39873
2681,286.39873
2682,286.39873
2683,286.39873
2684,286.39873
2685,286.39873
2686,286.39873
2687,286.39873
2688,286.39873
2689,286.39873
2690,286.39873
2691,286.39873
2692,286.39873
2693,286.39873
2694,286.39873
2695,286.39873
2696,286.39873
2697,286.39873
2698,286.39873
2699,286.39873
2700,286.39873
2701,286.39873
2702,286.39873
2703,286.39873
2704,286.39873
2705,286.39873
2706,286.39873
2707,286.39873
2708,286.39873
2709,286.39873
2710,286.39873
2711,286.39873
2712,286.39873
2713,286.39873
2714,286.39873
2715,286.39873
2716,286.39873
2717,286.39873
2718,286.39873
2719,286.39873
2720,286.39873
2721,286.39873
2722,286.39873
2723,286.39873
2724,286.39873
2725,286.39873
2726,286.39873
2727,286.39873
2728,286.39873
2729,286.39873
2730,286.39873
2731,286.39873
2732,286.39873
2733,286.39873
2734,286.39873
2735,286.39873
2736,286.39873
2737,286.39873
2738,286.39873
2739,286.39873
2740,286.39873
2741,286.39873
2742,286.39873
2743,286.39873
2744,286.39873
2745,286.39873
2746,286.39873
2747,286.39873
2748,286.39873
2749,286.39873
2750,286.39873
2751,286.39873
2752,286.39873
2753,286.39873
2754,286.39873
2755,286.39873
2756,286.39873
2757,286.39873
2758,286.39873
2759,286.39873
2760,286.39873
2761,286.39873
2762,286.39873
2763,286.39873
2764,286.39873
2765,286.39873
2766,286.39873
2767,286.39873
2768,286.39873
2769,286.39873
2770,286.39873
2771,286.39873
2772,286.39873
2773,286.39873
2774,286.39873
2775,286.39873
2776,286.39873
2777,286.39873
2778,286.39873
2779,286.39873
2780,286.39873
2781,286.39873
2782,286.39873
2783,286.39873
2784,286.39873
2785,286.39873
2786,286.39873
2787,286.39873
2788,286.39873
2789,286.39873
2790,286.39873
2791,286.39873
2792,286.39873
2793,286.39873
2794,286.39873
2795,286.39873
2796,286.39873
2797,286.39873
2798,286.39873
2799,286.39873
2800,286.39873
